sigla_uf,id_municipio,nome,numero_candidato,sigla_partido,votos,turno
RO,1100379,Alto Alegre dos Parecis,54,PPL,2,1
RO,1100379,Alto Alegre dos Parecis,45,PSDB,418,1
RO,1100379,Alto Alegre dos Parecis,17,PSL,3308,1
RO,1100379,Alto Alegre dos Parecis,50,PSOL,28,1
RO,1100379,Alto Alegre dos Parecis,16,PSTU,2,1
RO,1100379,Alto Alegre dos Parecis,13,PT,1936,1
RO,1100379,Alto Alegre dos Parecis,18,REDE,29,1
RO,1100379,Alto Alegre dos Parecis,17,PSL,3790,2
RO,1100379,Alto Alegre dos Parecis,13,PT,2244,2
RO,1100403,Alto Paraíso,27,DC,2,1
RO,1100403,Alto Paraíso,15,MDB,139,1
RO,1100403,Alto Paraíso,30,NOVO,58,1
RO,1100403,Alto Paraíso,51,PATRIOTA,22,1
RO,1100403,Alto Paraíso,12,PDT,288,1
RO,1100403,Alto Paraíso,19,PODE,53,1
RO,1100403,Alto Paraíso,54,PPL,0,1
RO,1100403,Alto Paraíso,45,PSDB,451,1
RO,1100403,Alto Paraíso,17,PSL,5347,1
RO,1100403,Alto Paraíso,50,PSOL,33,1
RO,1100403,Alto Paraíso,16,PSTU,3,1
RO,1100403,Alto Paraíso,13,PT,2016,1
RO,1100403,Alto Paraíso,18,REDE,41,1
RO,1100403,Alto Paraíso,17,PSL,5701,2
RO,1100403,Alto Paraíso,13,PT,2257,2
RO,1100452,Buritis,27,DC,2,1
RO,1100452,Buritis,15,MDB,205,1
RO,1100452,Buritis,30,NOVO,81,1
RO,1100452,Buritis,51,PATRIOTA,76,1
RO,1100452,Buritis,12,PDT,725,1
RO,1100452,Buritis,19,PODE,101,1
RO,1100452,Buritis,54,PPL,3,1
RO,1100452,Buritis,45,PSDB,651,1
RO,1100452,Buritis,17,PSL,10946,1
RO,1100452,Buritis,50,PSOL,63,1
RO,1100452,Buritis,16,PSTU,1,1
RO,1100452,Buritis,13,PT,2764,1
RO,1100452,Buritis,18,REDE,41,1
RO,1100452,Buritis,17,PSL,11682,2
RO,1100452,Buritis,13,PT,3417,2
RO,1100502,Novo Horizonte do Oeste,27,DC,3,1
RO,1100502,Novo Horizonte do Oeste,15,MDB,67,1
RO,1100502,Novo Horizonte do Oeste,30,NOVO,54,1
RO,1100502,Novo Horizonte do Oeste,51,PATRIOTA,8,1
RO,1100502,Novo Horizonte do Oeste,12,PDT,234,1
RO,1100502,Novo Horizonte do Oeste,19,PODE,151,1
RO,1100502,Novo Horizonte do Oeste,54,PPL,2,1
RO,1100502,Novo Horizonte do Oeste,45,PSDB,325,1
RO,1100502,Novo Horizonte do Oeste,17,PSL,2740,1
RO,1100502,Novo Horizonte do Oeste,50,PSOL,29,1
RO,1100502,Novo Horizonte do Oeste,16,PSTU,2,1
RO,1100502,Novo Horizonte do Oeste,13,PT,1812,1
RO,1100502,Novo Horizonte do Oeste,18,REDE,22,1
